CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS
9107,ENGL 223,11,2nd Yr Writ Sem:Lit  Res  Writ,3,  LLF,Lec,MWF,1300-1350,MCM 164,Bunch  Imogene,0,Closed
9110,ENGL 223,12,2nd Yr Writ Sem:Lit  Res  Writ,3,  LLF,Lec,TR,1100-1215,MCM 200D,Cornette Jr  James,0,Closed
9112,ENGL 223,13,2nd Yr Writ Sem:Lit  Res  Writ,3,  LLF,Lec,TR,0930-1045,MCM 257,Cornette Jr  James,0,Closed
9114,ENGL 223,14,2nd Yr Writ Sem:Lit  Res  Writ,3,  LLF,Lec,MWF,1300-1350,FERG 207,Healy  Mary,1,Open
9117,ENGL 223,15,2nd Yr Writ Sem:Lit  Res  Writ,3,  LLF,Lec,MWF,1400-1450,FERG 210,Healy  Mary,0,Closed
9120,ENGL 223,16,2nd Yr Writ Sem:Lit  Res  Writ,3,  LLF,Lec,MWF,0900-0950,FERG 208,Rose  Andrew,0,Closed
9123,ENGL 223,17,2nd Yr Writ Sem:Lit  Res  Writ,3,  LLF,Lec,MWF,1000-1050,FERG 208,Rose  Andrew,0,Closed
9124,ENGL 223,18,2nd Yr Writ Sem:Lit  Res  Writ,3,  LLF,Lec,TR,1500-1615,MCM 357,Shortsleeve  Kevin,1,Open
9083,ENGL 223,2,2nd Yr Writ Sem:Lit  Res  Writ,3,  LLF,Lec,MWF,1200-1250,MCM 200D,Carney  Jason,0,Closed
9087,ENGL 223,4,2nd Yr Writ Sem:Lit  Res  Writ,3,  LLF,Lec,MWF,1000-1050,MCM 357,Pollard  Scott,0,Closed
9097,ENGL 223,6,2nd Yr Writ Sem:Lit  Res  Writ,3,  LLF,Lec,TR,1630-1745,MCM 312,Rowley  Sharon,3,Open
9098,ENGL 223,7,2nd Yr Writ Sem:Lit  Res  Writ,3,  LLF,Lec,TR,1330-1445,MCM 357,Shortsleeve  Kevin,0,Closed
9111,ENGL 308,W1,WI: Lit  Theory  &amp; Culture,3,  WI,Lec,MWF,1200-1250,MCM 160,Pollard  Scott,0,Closed
9113,ENGL 308,W2,WI: Lit  Theory  &amp; Culture,3,  WI,Lec,MWF,1400-1450,MCM 262,Pollard  Scott,12,Open
9108,ENGL 309,W1,WI: Creative Nonfiction,3,  WI,Lec,TR,0930-1045,MCM 262,Carney  Jason,0,Closed
9109,ENGL 309,W2,WI: Creative Nonfiction,3,  WI,Lec,TR,1630-1745,MCM 210,Rodden  Dan,0,Closed
9216,ENGL 309,W3,WI: Creative Nonfiction,3,  WI,Lec,MWF,0900-0950,MCM 212,Carney  Jason,0,Closed
9168,ENGL 310,1,Introduction to Linguistics,3,  AIGM  AIIF,Lec,TR,0930-1045,MCM 260,Wheeler  Rebecca,6,Open
9169,ENGL 310,2,Introduction to Linguistics,3,  AIGM  AIIF,Lec,TR,1330-1445,MCM 312,Wheeler  Rebecca,1,Open
9106,ENGL 315,1,Adolescent Literature,3,  AIII,Lec,TR,1800-1915,MCM 260,Keeling  Kara,0,Closed
9102,ENGL 316,1,Children&#39;s Literature,3,  AIII,Lec,MW,1600-1715,MCM 260,Keeling  Kara,0,Closed
9104,ENGL 316,2,Children&#39;s Literature,3,  AIII,Lec,MW,1800-1915,MCM 260,Keeling  Kara,11,Open
9100,ENGL 339,W1,WI:Tutoring in the Writing Ctr,3,  WI,Lec,TR,0930-1045,LUTR 157,Emmelhainz  Nicole,0,Closed
9227,ENGL 339L,1,Writing Center Experience,3-Jan,,Lab,,,ARR ,Emmelhainz  Nicole,0,Closed
9096,ENGL 341,1,The Invasion of America,3,,Lec,TR,1500-1615,MCM 210,Rosenberg  R.,20,Open
9095,ENGL 350,W1,WI: Writing-Digital Humanities,3,  WI,Lec,MWF,1500-1550,MCM 162,Hoag  Trevor,0,Closed
9215,ENGL 350,W2,WI: Writing-Digital Humanities,3,  WI,Lec,TR,1330-1445,MCM 110,Hoag  Trevor,0,Closed
9094,ENGL 351,W1,WI: Fiction Writing,3,  WI,Lec,TR,1100-1215,MCM 262,Carney  Jason,0,Closed
9093,ENGL 352,1,Poetry Writing,3,,Lec,TR,1500-1615,MCM 212,Emmelhainz  Nicole,0,Closed
9211,ENGL 353,3,WI: Writing for the Profession,3,  WI,Lec,MWF,1000-1050,MCM 112,Wright  Mary,0,Closed
9091,ENGL 353,W1,WI: Writing for the Profession,3,  WI,Lec,MWF,0900-0950,MCM 210,Barclay  Rebecca,0,Closed
9092,ENGL 353,W2,WI: Writing for the Profession,3,  WI,Lec,MWF,1100-1150,MCM 212,Barclay  Rebecca,0,Closed
9214,ENGL 353,W4,WI: Writing for the Profession,3,  WI,Lec,MWF,1300-1350,MCM 357,Barclay  Rebecca,0,Closed
9090,ENGL 356,W1,WI: Film  Theory &amp; Culture,3,  WI,Lec,TR,1100-1215,MCM 260,Nichols  John,0,Closed
9089,ENGL 365,W1,WI:Playwriting,3,  AICE  WI,Lec,TR,1500-1615,MCM 112,Rodden  Dan,0,Closed
9086,ENGL 385,1,American Film,3,,Lec,M,1800-2045,MCM 164,Nichols  John,0,Closed
9085,ENGL 395,1,SP TPC:Mad Men &amp; Women Writing,3,,Lec,MWF,1200-1250,MCM 216,Wright  Mary,0,Closed
9220,ENGL 412,1,Multicultural American Lit,3,,Lec,MWF,1400-1450,MCM 260,Hopkins  Patricia,9,Open
9080,ENGL 423,1,Major Authors: Mark Twain,3,,Lec,MWF,1100-1150,MCM 216,Filetti  Jean,1,Open
9078,ENGL 429,1,East-West Literary Relations,3,,Lec,TR,1630-1745,MCM 160,Apolloni  Jessica,11,Open
9167,ENGL 430,1,The Structure of English,3,  AIIF,Lec,MW,1600-1715,MCM 212,Wheeler  Rebecca,8,Open
9077,ENGL 450,1,Adv Creative Writing Workshop,3,,Lec,W,1800-2045,MCM 212,Rodden  Dan,13,Open
9076,ENGL 454,W1,WI:  Writ for Civic Engagement,3,  WI,Lec,TR,1100-1215,MCM 212,Rosenberg  R.,0,Closed
9075,ENGL 462,1,Comunty Strytlng &amp; Doc Studies,3,,Lec,W,1600-1845,MCM 216,Lee  Terrence,7,Open
9074,ENGL 476,1,Imagined Domesticities,3,,Lec,MWF,1300-1350,MCM 112,Teekell  Anna,13,Open
9071,ENGL 490,W1,WI: Senior Seminar,3,  WI,Lec,TR,1330-1445,MCM 114,Nichols  John,0,Closed
9072,ENGL 490,W2,WI: Senior Seminar,3,  WI,Lec,W,1600-1845,MCM 366,Rowley  Sharon,15,Open
9067,ENGL 491,1,Internship in Writing,3,,Int,,,ARR ,Filetti  Jean,0,Closed
9069,ENGL 491,2,Internship in Writing,3,,Int,,,ARR ,Lee  Terrence,0,Closed
9070,ENGL 491,3,Internship in Writing,3,,Int,,,ARR ,Rosenberg  R.,0,Closed
8266,ENGR 212,1,Electronics,3,,Lec,MWF,1000-1050,LUTR 322,Fernandez  Jose,6,Open
8268,ENGR 212L,1,Electronics Laboratory,1,,Lab,M,1800-2045,LUTR 206,Selim  Raouf,0,Closed
8270,ENGR 212L,2,Electronics Laboratory,1,,Lab,T,1800-2045,LUTR 206,Fernandez  Jose,8,Open
8272,ENGR 213,1,Discrete Structures-Comp Appl,3,,Lec,TR,1630-1745,LUTR 170,Wang  Dali,0,Closed
8276,ENGR 213,2,Discrete Structures-Comp Appl,3,,Lec,,, ,,0,Closed
9044,ENVS 505,1,Technical &amp; Scientific Writing,3,,Lec,M,1730-2020,FORBES 2051,Atkinson  Robert,13,Open
9045,ENVS 530,1,Biogeography,3,,Lec,MWF,0900-0950,FORBES 2043,Sherwin  Rick,0,Closed
9046,ENVS 534,1,Marine Ecology,4,,Lec,TR,0930-1045,FORBES 2043,Burke  Russell,0,Closed
9048,ENVS 534L,1,Marine Ecology Lab,0,,Lab,R,1330-1720,FORBES 1039,Burke  Russell,0,Closed
9051,ENVS 540,1,Environmental Microbiology,4,,Lec,MWF,1100-1150,FORBES 2074,Knies  Jennifer,0,Closed
9052,ENVS 540L,1,Environmental Microbiology Lab,0,,Lab,R,1330-1720,FORBES 1015,Knies  Jennifer,0,Closed
9054,ENVS 540L,2,Environmental Microbiology Lab,0,,Lab,F,1300-1650,FORBES 1015,Knies  Jennifer,0,Closed
9175,ENVS 550,1,Global Change,3,,Lec,W,1730-2020,FORBES 2051,Whiting  Gary,0,Closed
9056,ENVS 555,1,GIS and Spatial Analysis Techn,4,,Lec,TR,1730-1845,FORBES 2051,Whiting  Gary,0,Closed
9058,ENVS 555L,1,GIS and Spatial Analysis Techn,0,,Lab,S,0800-1145,FORBES 2051,Whiting  Gary,0,Closed
9063,ENVS 689,1,Project Research for Non-Thesi,3-Jan,,Ind,,,ARR ,Atkinson  Robert,26,Open
9064,ENVS 699,1,Thesis Research,6-Jan,,Ind,,,ARR ,Atkinson  Robert,13,Open
8726,EVST 220,1,Intro to Environmental Studies,3,,Lec,MWF,1400-1450,MCM 160,Kirkpatrick  Andrew,0,Closed
8063,FINC 210,1,Personal Finance,3,,Lec,MW,1630-1745,MCM 164,Staff  CNU,5,Open
8064,FINC 210,2,Personal Finance,3,,Lec,MW,1800-1915,MCM 162,Staff  CNU,0,Closed
8065,FINC 300,1,Managerial Finance,3,,Lec,TR,1100-1215,LUTR 269,Staff  CNU,4,Open
8066,FINC 300,2,Managerial Finance,3,,Lec,TR,1330-1445,LUTR 105,Staff  CNU,0,Closed
8067,FINC 324,1,Principles of Investment,3,,Lec,MW,1800-1915,LUTR 264,Qin  Nan,5,Open
8068,FINC 325,1,Mgmt of Financial Institutions,3,,Lec,TR,0800-0915,LUTR 376,Hall  Thomas,0,Closed
8069,FINC 424,1,Portfolio Management,3,,Lec,MW,1930-2045,LUTR 264,Qin  Nan,0,Closed
9352,FINC 425,VTC,Risk Management,3,,Lec,,, ,,0,Closed
8070,FINC 428,W1,WI:Financial Policy &amp; Strategy,3,  WI,Lec,MWF,0800-0850,LUTR 376,Rahim  Niazur,0,Closed
8071,FINC 428,W2,WI:Financial Policy &amp; Strategy,3,  WI,Lec,MWF,0900-0950,LUTR 376,Rahim  Niazur,0,Closed
8072,FINC 480,1,Internship in Finance,3,,Int,,,ARR ,Staff  CNU,0,Closed
8073,FINC 499,1,Independent Study,3-Jan,,Ind,,,ARR ,Staff  CNU,0,Closed
8113,FNAR 117,1,3D Design,3,,Lab,TR,1030-1250,FERG A192,Henry  Gregory,0,Closed
8118,FNAR 117,2,3D Design,3,,Lab,TR,1400-1620,FERG A192,Henry  Gregory,0,Closed
8120,FNAR 118,1,2D Design,3,,Lab,TR,0800-1020,FERG T195,Davis  James,4,Open
8124,FNAR 118,2,2D Design,3,,Lab,TR,1030-1250,FERG T195,Davis  James,0,Closed
8125,FNAR 121,1,Drawing I,3,,Lab,MW,1400-1620,FERG T195,Stephenson  Barbara,0,Closed
8126,FNAR 128,1,Introduction to Digital Media,3,  AICE,Lab,TR,0800-1020,FERG A182,Skees  Alan,4,Open
8127,FNAR 128,2,Introduction to Digital Media,3,  AICE,Lab,TR,1030-1250,FERG A182,Skees  Alan,2,Open
9025,FNAR 201,1,World Art in Context I,3,  AICE,Lec,MWF,1500-1550,MCM 101,Motta  Rosa,44,Open
8128,FNAR 201,2,World Art in Context I,3,  AICE,Lec,TR,1500-1615,FERG 201,Moran  Elizabeth,0,Closed
8129,FNAR 201,3,World Art in Context I,3,  AICE,Lec,TR,1630-1745,FERG 201,Moran  Elizabeth,0,Closed
8130,FNAR 202,1,World Arts in Context II,3,  AICE,Lec,MWF,1200-1250,FERG 201,Richardson  Margaret,0,Closed
8131,FNAR 202,2,World Arts in Context II,3,  AICE,Lec,MWF,1400-1450,MCM 101,Richardson  Margaret,45,Open
8132,FNAR 202,3,World Arts in Context II,3,  AICE,Lec,TR,1100-1215,FERG 201,Erhardt  Michelle,0,Closed
8133,FNAR 202,4,World Arts in Context II,3,  AICE,Lec,TR,1330-1445,FERG 201,Erhardt  Michelle,0,Closed
8134,FNAR 205,1,Digital Photography,3,  AICE,Lab,MW,0800-1020,FERG A182,Skees  Kristin,0,Closed
8135,FNAR 205,2,Digital Photography,3,  AICE,Lab,TR,1400-1620,FERG A182,Moore  Thomas,0,Closed
8144,FNAR 227,1,Darkroom Photography,3,,Lab,TR,1400-1620,FERG T191,Bavaria  Christopher,1,Open
8136,FNAR 241,1,Ceramics I,3,  AICE,Lab,TR,0800-1020,FERG A195,Henry  Gregory,0,Closed
8137,FNAR 241,2,Ceramics I,3,  AICE,Lab,MW,1800-2020,FERG A195,Johnson  Crystal,0,Closed
8138,FNAR 252,1,Printmaking I,3,,Lab,TR,1400-1620,FERG T198,Skees  Alan,0,Closed
8139,FNAR 324,1,Advanced Painting,3,,Lab,MW,1030-1250,FERG T195,Harris  Christi,11,Open
8140,FNAR 327,1,Advanced Darkroom Photography,3,,Lab,TR,1030-1250,FERG T191,Bavaria  Christopher,2,Open
8141,FNAR 331,1,Advanced Digital Photography,3,  AICE,Lab,MW,1030-1250,FERG A182,Skees  Kristin,6,Open
8143,FNAR 332,1,Animation,3,  AICE,Lab,TR,1800-2020,FERG A182,Staff  CNU,0,Closed
8145,FNAR 341,1,Advanced Ceramics,3,,Lab,MW,1800-2020,FERG A195,Johnson  Crystal,0,Closed
8147,FNAR 352,1,Advanced Printmaking,3,,Lab,TR,1400-1620,FERG T198,Skees  Alan,1,Open
8148,FNAR 371,W1,WI: Modern Art,3,  AICE  WI,Lec,MWF,1100-1150,FERG 201,Richardson  Margaret,0,Closed
8151,FNAR 379,1,Northern Renaissance Art,3,  AICE,Lec,TR,0930-1045,FERG 201,Erhardt  Michelle,0,Closed
9316,FNAR 401,1,Ind St: Studio Art,3,,Ind,,,ARR ,Skees  Alan,0,Closed
8152,FNAR 402,1,Adv Studio Tpc:Digital Photo,3,,Lab,MW,1400-1620,FERG A182,Skees  Kristin,8,Open
8155,FNAR 490,W1,WI: Senior Seminar in Art Hist,3,  WI,Lec,TR,1100-1215,FERG 207,Moran  Elizabeth,13,Open
8157,FNAR 491,1,Practicum in Studio Art/Histor,6-Jan,,Pra,,,ARR ,Harris  Christi,0,Closed
9313,FNAR 491,2,Practicum in Studio Art/Histor,6-Jan,,Pra,,,ARR ,Skees  Alan,0,Closed
9343,FNAR 491,3,Practicum in Studio Art/Histor,6-Jan,,Pra,,,ARR ,Moran  Elizabeth,0,Closed
9355,FNAR 491,4,Practicum in Studio Art/Histor,6-Jan,,Pra,,,ARR ,Erhardt  Michelle,0,Closed
9000,FREN 102,1,Beginning French II,3,,Lec,MWF,0900-0950,MCM 112,Larson  Sharon,0,Closed
9002,FREN 102,2,Beginning French II,3,,Lec,MWF,1100-1150,MCM 310,Larson  Sharon,0,Closed
8812,FREN 200,1,Eff Comm in French,3,  LLF,Lec,TR,0800-0915,MCM 257,Staff  CNU,0,Closed
8813,FREN 200,2,Eff Comm in French,3,  LLF,Lec,MWF,1300-1350,MCM 207,Siewe Seuchie  Patricia,0,Closed
8815,FREN 200,3,Eff Comm in French,3,  LLF,Lec,MWF,0800-0850,MCM 307,Staff  CNU,0,Closed
9003,FREN 202,1,Intermediate French II,3,  LLF,Lec,MWF,1200-1250,MCM 360,Larson  Sharon,0,Closed
8816,FREN 310,1,Practical French Phonetics,3,  LLF,Lec,MWF,1100-1150,MCM 307,Mulryan  Michael,0,Closed
8817,FREN 353,1,Francophone Lit &amp; Culture,3,  LLF,Lec,MWF,1200-1250,MCM 314,Siewe Seuchie  Patricia,5,Open
8490,GEOG 201,1,Introduction to Geography I,3,,Lec,TR,1800-1915,FORBES 2070A,Bono  Federica,0,Closed
8491,GEOG 201,2,Introduction to Geography I,3,,Lec,TR,1930-2045,FORBES 2070A,Bono  Federica,0,Closed
8497,GEOG 201,3,Introduction to Geography I,3,,Lec,TR,1630-1745,MCM 162,Crippen  Gilbert,0,Closed
8499,GEOG 202,1,Introduction to Geography II,3,,Lec,T,1800-2045,MCM 162,Crippen  Gilbert,0,Closed
8501,GEOG 202,2,Introduction to Geography II,3,,Lec,R,1800-2045,MCM 162,Crippen  Gilbert,0,Closed
9219,GEOG 202,3,Introduction to Geography II,3,,Lec,W,1800-2045,LUTR 376,Finn  John,0,Closed
8502,GEOG 308,1,The Urbanizing World,3,,Lec,TR,1630-1745,LUTR 167,Finn  John,0,Closed
8503,GEOG 308,2,The Urbanizing World,3,,Lec,TR,1800-1915,LUTR 167,Finn  John,2,Open
8819,GERM 102,1,Beginning German II,3,,Lec,MWF,0800-0850,MCM 316,McInnis  Brian,0,Closed
8820,GERM 102,2,Beginning German II,3,,Lec,MWF,0900-0950,MCM 357,McInnis  Brian,0,Closed
8822,GERM 102,3,Beginning German II,3,,Lec,MWF,1200-1250,MCM 307,McInnis  Brian,0,Closed
8824,GERM 202,1,Intermediate German II,3,  LLF,Lec,MWF,1000-1050,MCM 257,Deiulio  Laura,3,Open
8828,GERM 312,1,German Cultural History II,3,  LLF,Lec,MWF,1200-1250,MCM 207,Deiulio  Laura,10,Open
8829,GERM 314,1,Business German,3,  LLF,Lec,MWF,1300-1350,MCM 364,McInnis  Brian,13,Open
8587,GOVT 100,1,Political Thought and Society,3,,Lec,MWF,0900-0950,MCM 316,Lynerd  Benjamin,0,Closed
8591,GOVT 100,2,Political Thought and Society,3,,Lec,TR,0800-0915,MCM 310,Caballero  Sandra,0,Closed
8592,GOVT 100,3,Political Thought and Society,3,,Lec,TR,0930-1045,MCM 360,Caballero  Sandra,0,Closed
8593,GOVT 101,1,Power and Politics in America,3,  AIII,Lec,MWF,1300-1350,MCM 160,Greenlee  Harry,0,Closed
8594,GOVT 101,2,Power and Politics in America,3,  AIII,Lec,MWF,1100-1150,LUTR 121,Camobreco  John,0,Closed
8596,GOVT 101,3,Power and Politics in America,3,  AIII,Lec,MWF,1200-1250,MCM 310,Lynerd  Benjamin,0,Closed
8598,GOVT 101,4,Power and Politics in America,3,  AIII,Lec,MWF,1300-1350,MCM 310,Lynerd  Benjamin,0,Closed
8600,GOVT 101,5,Power and Politics in America,3,  AIII,Lec,TR,1330-1445,MCM 216,Hull  Jack,0,Closed
8603,GOVT 101,6,Power and Politics in America,3,  AIII,Lec,TR,1500-1615,MCM 216,Hull  Jack,0,Closed
8604,GOVT 202,1,State and Local Government,3,,Lec,M,1930-2230,MCM 210,Maddrea  Blair; Finch  Jeffrey,1,Open
8606,GOVT 202,2,State and Local Government,3,,Lec,T,1800-2100,MCM 207,Toscano  James,0,Closed
8610,GOVT 215,1,Comprtv &amp; Intnl Politics,3,,Lec,TR,1630-1745,MCM 207,Howenstein  Nicholas,0,Closed
8612,GOVT 215,2,Comprtv &amp; Intnl Politics,3,,Lec,TR,1800-1915,MCM 257,Howenstein  Nicholas,0,Closed
8613,GOVT 215,3,Comprtv &amp; Intnl Politics,3,,Lec,TR,1330-1445,MCM 207,Caballero  Sandra,0,Closed
8615,GOVT 215,4,Comprtv &amp; Intnl Politics,3,,Lec,MWF,1000-1050,MCM 160,Kirkpatrick  Andrew,0,Closed
8616,GOVT 215,5,Comprtv &amp; Intnl Politics,3,,Lec,MWF,1100-1150,MCM 160,Kirkpatrick  Andrew,0,Closed
8617,GOVT 243,1,Crime &amp; Punishment in America,3,,Lec,W,1800-2100,MCM 210,Barlow  Scott,0,Closed
8637,GOVT 291,1,Community Service Internship,3-Jan,,Int,,,ARR ; ARR ,Barnello  Michelle,0,Closed
8642,GOVT 311,W1,WI: Comparative Politics,3,  WI,Lec,TR,0930-1045,MCM 207,Rizova  Tatiana,0,Closed
8643,GOVT 311,W2,WI: Comparative Politics,3,  WI,Lec,TR,1100-1215,MCM 207,Rizova  Tatiana,0,Closed
8644,GOVT 316,1,Constitutional Law,3,,Lec,MW,1800-1915,MCM 307,West  Gary,0,Closed
8645,GOVT 316,2,Constitutional Law,3,,Lec,TR,1800-1915,MCM 307,West  Gary,0,Closed
8647,GOVT 320,1,Religion &amp; Politics in the US,3,  AIII,Lec,MWF,1000-1050,LUTR 264,Camobreco  John,0,Closed
9163,GOVT 330,1,Middle Eastern Politics,3,,Lec,MW,1800-1915,MCM 360,Waters  Thomas,0,Closed
9164,GOVT 330,2,Middle Eastern Politics,3,,Lec,MW,1930-2045,MCM 360,Waters  Thomas,10,Open
8648,GOVT 338,1,Polit of Weapons Proliferation,3,,Lec,TR,1330-1445,MCM 160,Busch  Nathan,0,Closed
8651,GOVT 338,2,Polit of Weapons Proliferation,3,,Lec,TR,1500-1615,MCM 160,Busch  Nathan,0,Closed
8669,GOVT 352,1,Rsrch Methds &amp; Quant Analysis,3,,Lec,MWF,1200-1250,MCM 110,Bitecofer  Rachel,2,Open
8672,GOVT 352,2,Rsrch Methds &amp; Quant Analysis,3,,Lec,MWF,1300-1350,MCM 110,Bitecofer  Rachel,3,Open
8674,GOVT 352,3,Rsrch Methds &amp; Quant Analysis,3,,Lec,TR,1500-1615,MCM 110,Shelton  Crystal,4,Open
8679,GOVT 358,1,Modern Political Thought,3,,Lec,W,1800-2100,MCM 314,Busch  Nathan,8,Open
8682,GOVT 363,1,The Judicial Process,3,,Lec,MWF,0900-0950,MCM 314,Greenlee  Harry,1,Open
8685,GOVT 363,2,The Judicial Process,3,,Lec,MWF,1100-1150,MCM 314,Greenlee  Harry,0,Closed
8687,GOVT 371,W1,WI: Public Admin &amp; Policy,3,  WI,Lec,MW,1800-1915,MCM 357,Barrows  Paula,0,Closed
8694,GOVT 380,1,Terrorism,3,,Lec,W,1800-2100,MCM 160,Shelton  Crystal,0,Closed
8697,GOVT 380,2,Terrorism,3,,Lec,TR,0930-1045,MCM 357,Shelton  Crystal,0,Closed
8698,GOVT 380,3,Terrorism,3,,Lec,TR,1100-1215,MCM 316,Shelton  Crystal,0,Closed
8703,GOVT 382,1,Women and Politics,3,  AIII,Lec,TR,1100-1215,MCM 307,Barnello  Michelle,0,Closed
9176,GOVT 395,1,SP TPC:Causes/Dyn of Civil War,3,,Lec,MW,1600-1715,MCM 257,Howenstein  Nicholas,0,Closed
8708,GOVT 454,1,American Political Behavior,3,,Lec,MW,1600-1715,MCM 160,Bitecofer  Rachel,1,Open
8709,GOVT 490,W1,WI: Senior Seminar in Pol Sci,3,  WI,Lec,TR,0930-1045,MCM 200B,Barnello  Michelle,0,Closed
8710,GOVT 490,W2,WI: Senior Seminar in Pol Sci,3,  WI,Lec,MWF,1000-1050,MCM 200C,Bitecofer  Rachel,0,Closed
8711,GOVT 490,W3,WI: Senior Seminar in Pol Sci,3,  WI,Lec,MWF,1400-1450,MCM 200B,Camobreco  John,0,Closed
8712,GOVT 491,1,Government Internship,3,,Int,,,ARR ,Greenlee  Harry,10,Open
9319,GOVT 499,1,Ind St: Global Refugees,3-Jan,,Ind,,,ARR ,Rizova  Tatiana,0,Closed
8832,GREK 201,1,Intermediate Greek I,3,  LLF,Lec,TR,1500-1615,MCM 207,Buszard  Bradley,10,Open
9315,HARP 232,1,Applied Music: Harp,1,,Lab,,,ARR ,Pike  Anastasia,0,Closed
8105,HIST 111,1,Ancient and Medieval World,3,  AIGM,Lec,TR,1630-1745,MCM 360,Santoro  A.,0,Closed
8868,HIST 111,2,Ancient and Medieval World,3,  AIGM,Lec,TR,1500-1615,MCM 360,Santoro  A.,0,Closed
8870,HIST 111,3,Ancient and Medieval World,3,  AIGM,Lec,TR,0930-1045,MCM 160,Cartwright  Charlotte,0,Closed
8871,HIST 111,4,Ancient and Medieval World,3,  AIGM,Lec,TR,1100-1215,MCM 160,Cartwright  Charlotte,0,Closed
8873,HIST 112,1,The Modern World,3,  AIGM,Lec,MWF,1300-1350,MCM 360,Puaca  Brian,0,Closed
8876,HIST 112,2,The Modern World,3,  AIGM,Lec,MW,1600-1715,MCM 362,Stenner  David,0,Closed
8877,HIST 112,3,The Modern World,3,  AIGM,Lec,TR,1330-1445,MCM 360,Stenner  David,0,Closed
8878,HIST 112,4,The Modern World,3,  AIGM,Lec,TR,1500-1615,MCM 362,Xu  Xiaoqun,0,Closed
8879,HIST 112,5,The Modern World,3,  AIGM,Lec,TR,1630-1745,MCM 362,Xu  Xiaoqun,0,Closed
8880,HIST 121,1,Early America to the Civil War,3,  AIWT,Lec,MWF,1200-1250,MCM 162,Hamilton  Phillip,0,Closed
8881,HIST 121,2,Early America to the Civil War,3,  AIWT,Lec,MWF,1300-1350,MCM 162,Hamilton  Phillip,0,Closed
8883,HIST 121,3,Early America to the Civil War,3,  AIWT,Lec,TR,1100-1215,MCM 210,Perry  Molly,0,Closed
8884,HIST 121,4,Early America to the Civil War,3,  AIWT,Lec,TR,1330-1445,MCM 210,Perry  Molly,0,Closed
8886,HIST 122,1,Mod Amer: Rcnst to Globl Power,3,  AIWT,Lec,MWF,1200-1250,MCM 114,Allison  James,0,Closed
8888,HIST 122,2,Mod Amer: Rcnst to Globl Power,3,  AIWT,Lec,MWF,1500-1550,MCM 310,Sellars  Nigel,0,Closed
8890,HIST 122,3,Mod Amer: Rcnst to Globl Power,3,  AIWT,Lec,MWF,1100-1150,MCM 162,Garmon  Frank,0,Closed
8894,HIST 122,5,Mod Amer: Rcnst to Globl Power,3,  AIWT,Lec,MWF,1300-1350,MCM 210,Garmon  Frank,0,Closed
9204,HIST 122,6,Mod Amer: Rcnst to Globl Power,3,  AIWT,Lec,MWF,1300-1350,MCM 114,Allison  James,0,Closed
9133,HIST 200,1,Hist Inq:Stalinist Tyranny,3,,Lec,TR,1330-1445,MCM 260,Duskin  Eric,1,Open
9134,HIST 200,2,Hist Inq: Stalinist Tyranny &amp;,3,,Lec,TR,1500-1615,MCM 260,Duskin  Eric,3,Open
9151,HIST 200,3,Hist Inq: Sports in America,3,,Lec,MWF,1200-1250,MCM 362,Sellars  Nigel,0,Closed
9155,HIST 200,4,Hist Inq: The Black Death,3,,Lec,TR,1500-1615,MCM 366,Cartwright  Charlotte,0,Closed
9136,HIST 302,1,The Roman Republic,3,,Lec,MW,1600-1715,MCM 112,Hyland  John,0,Closed
9137,HIST 304,1,U.S. Women&#39;s History,3,,Lec,TR,1100-1215,MCM 362,Puaca  Laura,0,Closed
9138,HIST 312,1,Ancient Egypt,3,,Lec,W,1800-2100,MCM 101,Santoro  A.,11,Open
9157,HIST 313,1,British Empires  1500-Present,3,,Lec,TR,0930-1045,MCM 310,Perry  Molly,0,Closed
9139,HIST 320,1,Imperial Russian History,3,,Lec,W,1800-2100,MCM 362,Duskin  Eric,6,Open
9140,HIST 329,1,Modern France,3,,Lec,MW,1600-1715,MCM 114,Puaca  Brian,4,Open
9141,HIST 336,1,American Foreign Relations,3,,Lec,MWF,1000-1050,MCM 212,Falk  Andrew,0,Closed
9142,HIST 336,2,American Foreign Relations,3,,Lec,MWF,1300-1350,MCM 362,Falk  Andrew,0,Closed
9143,HIST 343,1,Global Environmental History,3,,Lec,MWF,1000-1050,MCM 312,Allison  James,0,Closed
9144,HIST 347,1,Atlntc Wrld Encountr 1400-1700,3,,Lec,TR,1100-1215,MCM 312,Connell  William,2,Open
9152,HIST 348,1,Intro-Historical Archaeology,3,,Lec,F,1400-1800,MCM 200D,Outlaw  Alain,4,Open
9145,HIST 352,1,Colonial North America to 1700,3,,Lec,MWF,1100-1150,MCM 360,Shuck-Hall  Sheri,0,Closed
9222,HIST 375,1,History of  Modern Middle East,3,,Lec,TR,1500-1615,MCM 162,Stenner  David,0,Closed
9131,HIST 390,W1,WI: Hist Mthd &amp; Historiography,3,  WI,Lec,TR,0930-1045,MCM 300B,Hyland  John,0,Closed
9132,HIST 390,W2,WI: Hist Mthd &amp; Historiography,3,  WI,Lec,TR,1100-1215,MCM 300B,Hyland  John,0,Closed
9147,HIST 395,3,SP TPC: Hist-Americ Capitalism,3,,Lec,MWF,1500-1550,MCM 257,Garmon  Frank,20,Open
